Model name,input_shape,total_flops,total_params
Xception,"(1, 128, 128, 3)",3004571931,22910480
Xception,"(1, 150, 150, 3)",3902491179,22910480
InceptionResNetV2,"(1, 75, 75, 3)",982770237,55873736
InceptionResNetV2,"(1, 112, 112, 3)",2474721021,55873736
InceptionResNetV2,"(1, 128, 128, 3)",3367197629,55873736
InceptionResNetV2,"(1, 150, 150, 3)",4851524989,55873736
MobileNet0.25-v1,"(1, 32, 32, 3)",3124757,475544
MobileNet0.25-v1,"(1, 56, 56, 3)",5510613,475544
MobileNet0.25-v1,"(1, 64, 64, 3)",8118293,475544
MobileNet0.25-v1,"(1, 75, 75, 3)",8911253,475544
MobileNet0.25-v1,"(1, 112, 112, 3)",21188245,475544
MobileNet0.25-v1,"(1, 128, 128, 3)",28092437,475544
MobileNet0.25-v1,"(1, 150, 150, 3)",34954805,475544
MobileNet0.5-v1,"(1, 32, 32, 3)",9780837,1342536
MobileNet0.5-v1,"(1, 56, 56, 3)",18247141,1342536
MobileNet0.5-v1,"(1, 64, 64, 3)",28025445,1342536
MobileNet0.5-v1,"(1, 75, 75, 3)",30623589,1342536
MobileNet0.5-v1,"(1, 112, 112, 3)",75595621,1342536
MobileNet0.5-v1,"(1, 128, 128, 3)",101003877,1342536
MobileNet0.5-v1,"(1, 150, 150, 3)",125429925,1342536
MobileNet0.75-v1,"(1, 32, 32, 3)",19974325,2601976
MobileNet0.75-v1,"(1, 56, 56, 3)",38215669,2601976
MobileNet0.75-v1,"(1, 64, 64, 3)",59727541,2601976
MobileNet0.75-v1,"(1, 75, 75, 3)",65143093,2601976
MobileNet0.75-v1,"(1, 112, 112, 3)",163228213,2601976
MobileNet0.75-v1,"(1, 128, 128, 3)",218740405,2601976
MobileNet0.75-v1,"(1, 150, 150, 3)",271431445,2601976
MobileNet1.0-v1,"(1, 32, 32, 3)",33705221,4253864
MobileNet1.0-v1,"(1, 56, 56, 3)",65416197,4253864
MobileNet1.0-v1,"(1, 64, 64, 3)",103224581,4253864
MobileNet1.0-v1,"(1, 75, 75, 3)",112469765,4253864
MobileNet1.0-v1,"(1, 112, 112, 3)",284086021,4253864
MobileNet1.0-v1,"(1, 128, 128, 3)",381302021,4253864
MobileNet1.0-v1,"(1, 150, 150, 3)",472959365,4253864
MobileNet0.35-v2,"(1, 32, 32, 3)",8295997,1691208
MobileNet0.35-v2,"(1, 56, 56, 3)",11494725,1691208
MobileNet0.35-v2,"(1, 64, 64, 3)",15407629,1691208
MobileNet0.35-v2,"(1, 75, 75, 3)",16846509,1691208
MobileNet0.35-v2,"(1, 112, 112, 3)",33032037,1691208
MobileNet0.35-v2,"(1, 128, 128, 3)",43854157,1691208
MobileNet0.35-v2,"(1, 150, 150, 3)",52712349,1691208
MobileNet0.5-v2,"(1, 32, 32, 3)",10426853,1987224
MobileNet0.5-v2,"(1, 56, 56, 3)",15494405,1987224
MobileNet0.5-v2,"(1, 64, 64, 3)",22175045,1987224
MobileNet0.5-v2,"(1, 75, 75, 3)",24236261,1987224
MobileNet0.5-v2,"(1, 112, 112, 3)",51148645,1987224
MobileNet0.5-v2,"(1, 128, 128, 3)",69167813,1987224
MobileNet0.5-v2,"(1, 150, 150, 3)",83386229,1987224
MobileNet0.75-v2,"(1, 32, 32, 3)",16336517,2663064
MobileNet0.75-v2,"(1, 56, 56, 3)",27817205,2663064
MobileNet0.75-v2,"(1, 64, 64, 3)",41795093,2663064
MobileNet0.75-v2,"(1, 75, 75, 3)",46572869,2663064
MobileNet0.75-v2,"(1, 112, 112, 3)",105384645,2663064
MobileNet0.75-v2,"(1, 128, 128, 3)",143629397,2663064
MobileNet0.75-v2,"(1, 150, 150, 3)",175921037,2663064
MobileNet1.0-v2,"(1, 32, 32, 3)",21820909,3538984
MobileNet1.0-v2,"(1, 56, 56, 3)",37004077,3538984
MobileNet1.0-v2,"(1, 64, 64, 3)",58510765,3538984
MobileNet1.0-v2,"(1, 75, 75, 3)",64101357,3538984
MobileNet1.0-v2,"(1, 112, 112, 3)",148950253,3538984
MobileNet1.0-v2,"(1, 128, 128, 3)",205270189,3538984
MobileNet1.0-v2,"(1, 150, 150, 3)",248561765,3538984
MobileNet1.3-v2,"(1, 32, 32, 3)",34858141,5431048
MobileNet1.3-v2,"(1, 56, 56, 3)",60748605,5431048
MobileNet1.3-v2,"(1, 64, 64, 3)",97048957,5431048
MobileNet1.3-v2,"(1, 75, 75, 3)",106736589,5431048
MobileNet1.3-v2,"(1, 112, 112, 3)",250454125,5431048
MobileNet1.3-v2,"(1, 128, 128, 3)",345812221,5431048
MobileNet1.3-v2,"(1, 150, 150, 3)",419847565,5431048
MobileNet1.4-v2,"(1, 32, 32, 3)",39527597,6156712
MobileNet1.4-v2,"(1, 56, 56, 3)",68871429,6156712
MobileNet1.4-v2,"(1, 64, 64, 3)",110621357,6156712
MobileNet1.4-v2,"(1, 75, 75, 3)",121440141,6156712
MobileNet1.4-v2,"(1, 112, 112, 3)",285733861,6156712
MobileNet1.4-v2,"(1, 128, 128, 3)",394996397,6156712
MobileNet1.4-v2,"(1, 150, 150, 3)",478437765,6156712
ResNet-18,"(1, 28, 28, 3)",93329787,11699889
ResNet-18,"(1, 32, 32, 3)",99015867,11699889
ResNet-18,"(1, 56, 56, 3)",284338875,11699889
ResNet-18,"(1, 64, 64, 3)",322815675,11699889
ResNet-18,"(1, 75, 75, 3)",522023291,11699889
ResNet-18,"(1, 112, 112, 3)",1001185467,11699889
ResNet-18,"(1, 128, 128, 3)",1218014907,11699889
ResNet-18,"(1, 150, 150, 3)",1786533435,11699889
ResNet-34,"(1, 28, 28, 3)",186847339,21815473
ResNet-34,"(1, 32, 32, 3)",194746219,21815473
ResNet-34,"(1, 56, 56, 3)",580050283,21815473
ResNet-34,"(1, 64, 64, 3)",645076843,21815473
ResNet-34,"(1, 75, 75, 3)",1034382955,21815473
ResNet-34,"(1, 112, 112, 3)",1981797739,21815473
ResNet-34,"(1, 128, 128, 3)",2446399339,21815473
ResNet-34,"(1, 150, 150, 3)",3625480939,21815473
ResNet-50,"(1, 28, 28, 3)",205429211,25636712
ResNet-50,"(1, 32, 32, 3)",212993051,25636712
ResNet-50,"(1, 56, 56, 3)",619537691,25636712
ResNet-50,"(1, 64, 64, 3)",686250011,25636712
ResNet-50,"(1, 75, 75, 3)",1103762395,25636712
ResNet-50,"(1, 112, 112, 3)",2099846171,25636712
ResNet-50,"(1, 128, 128, 3)",2579277851,25636712
ResNet-50,"(1, 150, 150, 3)",3822745819,25636712
ResNet-101,"(1, 28, 28, 3)",395133097,44707176
ResNet-101,"(1, 32, 32, 3)",402696937,44707176
ResNet-101,"(1, 56, 56, 3)",1264321513,44707176
ResNet-101,"(1, 64, 64, 3)",1331033833,44707176
ResNet-101,"(1, 75, 75, 3)",2089856169,44707176
ResNet-101,"(1, 112, 112, 3)",3996099817,44707176
ResNet-101,"(1, 128, 128, 3)",5044381417,44707176
ResNet-101,"(1, 150, 150, 3)",7653089193,44707176
ResNet-152,"(1, 28, 28, 3)",578177858,60419944
ResNet-152,"(1, 32, 32, 3)",585741698,60419944
ResNet-152,"(1, 56, 56, 3)",1869068930,60419944
ResNet-152,"(1, 64, 64, 3)",1969281410,60419944
ResNet-152,"(1, 75, 75, 3)",3069505858,60419944
ResNet-152,"(1, 112, 112, 3)",5886155138,60419944
ResNet-152,"(1, 128, 128, 3)",7503440258,60419944
ResNet-152,"(1, 150, 150, 3)",11390656066,60419944
ResNet-50V2,"(1, 28, 28, 3)",191593352,25613800
ResNet-50V2,"(1, 32, 32, 3)",197546312,25613800
ResNet-50V2,"(1, 56, 56, 3)",569063240,25613800
ResNet-50V2,"(1, 64, 64, 3)",624520520,25613800
ResNet-50V2,"(1, 75, 75, 3)",1016194952,25613800
ResNet-50V2,"(1, 112, 112, 3)",1917228872,25613800
ResNet-50V2,"(1, 128, 128, 3)",2332417352,25613800
ResNet-50V2,"(1, 150, 150, 3)",3466300168,25613800
ResNet-101V2,"(1, 28, 28, 3)",381262369,44675560
ResNet-101V2,"(1, 32, 32, 3)",387215329,44675560
ResNet-101V2,"(1, 56, 56, 3)",1213707745,44675560
ResNet-101V2,"(1, 64, 64, 3)",1269165025,44675560
ResNet-101V2,"(1, 75, 75, 3)",2002071073,44675560
ResNet-101V2,"(1, 112, 112, 3)",3813055969,44675560
ResNet-101V2,"(1, 128, 128, 3)",4796963809,44675560
ResNet-101V2,"(1, 150, 150, 3)",7295773089,44675560
ResNet-152V2,"(1, 28, 28, 3)",564264122,60380648
ResNet-152V2,"(1, 32, 32, 3)",570217082,60380648
ResNet-152V2,"(1, 56, 56, 3)",1818298490,60380648
ResNet-152V2,"(1, 64, 64, 3)",1907240570,60380648
ResNet-152V2,"(1, 75, 75, 3)",2981451962,60380648
ResNet-152V2,"(1, 112, 112, 3)",5702584442,60380648
ResNet-152V2,"(1, 128, 128, 3)",7255334522,60380648
ResNet-152V2,"(1, 150, 150, 3)",11032304698,60380648
SENet-154,"(1, 28, 28, 3)",1067222829,115336536
SENet-154,"(1, 32, 32, 3)",1092472749,115336536
SENet-154,"(1, 56, 56, 3)",3388026285,115336536
SENet-154,"(1, 64, 64, 3)",3627327405,115336536
SENet-154,"(1, 75, 75, 3)",5663824685,115336536
SENet-154,"(1, 112, 112, 3)",10872276909,115336536
SENet-154,"(1, 128, 128, 3)",13766746029,115336536
SENet-154,"(1, 150, 150, 3)",20715206445,115336536
SqueezeNet-v1.1,"(1, 32, 32, 3)",9554869,1235496
SqueezeNet-v1.1,"(1, 64, 64, 3)",46057781,1235496
SqueezeNet-v1.1,"(1, 75, 75, 3)",55094933,1235496
SqueezeNet-v1.1,"(1, 112, 112, 3)",160607429,1235496
SqueezeNet-v1.1,"(1, 128, 128, 3)",214736053,1235496
SqueezeNet-v1.1,"(1, 150, 150, 3)",281774309,1235496
SqueezeNet-v1.1,"(1, 224, 224, 3)",706934581,1235496
SqueezeNet-v1.1,"(1, 240, 240, 3)",816872133,1235496
SqueezeNet-v1.1,"(1, 256, 256, 3)",934782389,1235496
SqueezeNet-v1.1,"(1, 299, 299, 3)",1235054357,1235496
SqueezeNet-v1.1,"(1, 320, 320, 3)",1486150453,1235496
SqueezeNet-v1.1,"(1, 331, 331, 3)",1531183253,1235496
SqueezeNet-v1.1,"(1, 448, 448, 3)",2971576373,1235496
SqueezeNet-v1.1,"(1, 480, 480, 3)",3422659893,1235496
SqueezeNet-v1.1,"(1, 568, 568, 3)",4751096069,1235496
SqueezeNet-v1.1,"(1, 600, 600, 3)",5317304133,1235496
SqueezeNet-v1.1,"(1, 800, 800, 3)",9687489973,1235496
SqueezeNet-v1.1,"(1, 896, 896, 3)",12188809909,1235496
SqueezeNet-v1.1,"(1, 1024, 1024, 3)",15970374581,1235496
SqueezeNet-v1.1,"(1, 1200, 1200, 3)",22003173573,1235496
SqueezeNet-v1.1,"(1, 1600, 1600, 3)",39301797173,1235496
SqueezeNet-v1.1,"(1, 1792, 1792, 3)",49375076789,1235496
SqueezeNet-v1.1,"(1, 2400, 2400, 3)",88847864373,1235496
DPN-98,"(1, 28, 28, 3)",708820518,61701472
DPN-98,"(1, 64, 64, 3)",2152017222,61701472
DPN-98,"(1, 75, 75, 3)",3297744678,61701472
DPN-98,"(1, 112, 112, 3)",6232011078,61701472
DPN-98,"(1, 128, 128, 3)",7870147398,61701472
DPN-98,"(1, 150, 150, 3)",11782704006,61701472
DPN-98,"(1, 224, 224, 3)",23595005382,61701472
DPN-98,"(1, 240, 240, 3)",27357186374,61701472
DPN-98,"(1, 256, 256, 3)",30742668102,61701472
DPN-98,"(1, 299, 299, 3)",43500351654,61701472
DPN-98,"(1, 320, 320, 3)",47897058630,61701472
DPN-98,"(1, 331, 331, 3)",53055668006,61701472
DPN-98,"(1, 448, 448, 3)",93642100038,61701472
DPN-98,"(1, 480, 480, 3)",107460914630,61701472
DPN-98,"(1, 568, 568, 3)",153272298182,61701472
DPN-98,"(1, 600, 600, 3)",170826937158,61701472
DPN-98,"(1, 800, 800, 3)",298065253830,61701472
DPN-98,"(1, 896, 896, 3)",373830478662,61701472
DPN-98,"(1, 1024, 1024, 3)",488193082182,61701472
DPN-98,"(1, 1200, 1200, 3)",671837066054,61701472
DPN-98,"(1, 1600, 1600, 3)",1191523093830,61701472
DPN-98,"(1, 1792, 1792, 3)",1494583993158,61701472
DPN-98,"(1, 2400, 2400, 3)",2680619493830,61701472
DPN-107,"(1, 28, 28, 3)",1072058268,87055456
DPN-107,"(1, 64, 64, 3)",3335523996,87055456
DPN-107,"(1, 75, 75, 3)",5098430364,87055456
DPN-107,"(1, 112, 112, 3)",9689552028,87055456
DPN-107,"(1, 128, 128, 3)",12300414108,87055456
DPN-107,"(1, 150, 150, 3)",18338828316,87055456
DPN-107,"(1, 224, 224, 3)",36953861916,87055456
DPN-107,"(1, 240, 240, 3)",42764192924,87055456
DPN-107,"(1, 256, 256, 3)",48159974556,87055456
DPN-107,"(1, 299, 299, 3)",68042488604,87055456
DPN-107,"(1, 320, 320, 3)",75054644892,87055456
DPN-107,"(1, 331, 331, 3)",83011090332,87055456
DPN-107,"(1, 448, 448, 3)",146773765788,87055456
DPN-107,"(1, 480, 480, 3)",168438916892,87055456
DPN-107,"(1, 568, 568, 3)",239907500188,87055456
DPN-107,"(1, 600, 600, 3)",267409845532,87055456
DPN-107,"(1, 800, 800, 3)",467268587292,87055456
DPN-107,"(1, 896, 896, 3)",586053381276,87055456
DPN-107,"(1, 1024, 1024, 3)",765351183516,87055456
DPN-107,"(1, 1200, 1200, 3)",1052839659164,87055456
DPN-107,"(1, 1600, 1600, 3)",1868032667292,87055456
DPN-107,"(1, 1792, 1792, 3)",2343171843228,87055456
DPN-107,"(1, 2400, 2400, 3)",4202639467292,87055456
MobileNet-small0.75-v3,"(1, 28, 28, 3)",17979026,4221362
MobileNet-small0.75-v3,"(1, 64, 64, 3)",24171086,4221362
MobileNet-small0.75-v3,"(1, 75, 75, 3)",29892716,4221362
MobileNet-small0.75-v3,"(1, 112, 112, 3)",42896576,4221362
MobileNet-small0.75-v3,"(1, 128, 128, 3)",48437966,4221362
MobileNet-small0.75-v3,"(1, 150, 150, 3)",64493386,4221362
MobileNet-small0.75-v3,"(1, 224, 224, 3)",115171886,4221362
MobileNet-small0.75-v3,"(1, 240, 240, 3)",134053280,4221362
MobileNet-small0.75-v3,"(1, 256, 256, 3)",145505486,4221362
MobileNet-small0.75-v3,"(1, 299, 299, 3)",202636756,4221362
MobileNet-small0.75-v3,"(1, 320, 320, 3)",218306126,4221362
MobileNet-small0.75-v3,"(1, 331, 331, 3)",243492396,4221362
MobileNet-small0.75-v3,"(1, 448, 448, 3)",412441166,4221362
MobileNet-small0.75-v3,"(1, 480, 480, 3)",471086126,4221362
MobileNet-small0.75-v3,"(1, 568, 568, 3)",664229978,4221362
MobileNet-small0.75-v3,"(1, 600, 600, 3)",738658010,4221362
MobileNet-small0.75-v3,"(1, 800, 800, 3)",1279982126,4221362
MobileNet-small0.75-v3,"(1, 896, 896, 3)",1601518286,4221362
MobileNet-small0.75-v3,"(1, 1024, 1024, 3)",2086855886,4221362
MobileNet-small0.75-v3,"(1, 1200, 1200, 3)",2880413360,4221362
MobileNet-small0.75-v3,"(1, 1600, 1600, 3)",5071682126,4221362
MobileNet-small0.75-v3,"(1, 1792, 1792, 3)",6357826766,4221362
MobileNet-small0.75-v3,"(1, 2400, 2400, 3)",11391182126,4221362
MobileNet-small1.0-v3,"(1, 28, 28, 3)",18592124,4320632
MobileNet-small1.0-v3,"(1, 64, 64, 3)",26072468,4320632
MobileNet-small1.0-v3,"(1, 75, 75, 3)",33143636,4320632
MobileNet-small1.0-v3,"(1, 112, 112, 3)",48882764,4320632
MobileNet-small1.0-v3,"(1, 128, 128, 3)",55450004,4320632
MobileNet-small1.0-v3,"(1, 150, 150, 3)",75065572,4320632
MobileNet-small1.0-v3,"(1, 224, 224, 3)",136238228,4320632
MobileNet-small1.0-v3,"(1, 240, 240, 3)",159387852,4320632
MobileNet-small1.0-v3,"(1, 256, 256, 3)",172960148,4320632
MobileNet-small1.0-v3,"(1, 299, 299, 3)",242649268,4320632
MobileNet-small1.0-v3,"(1, 320, 320, 3)",261092756,4320632
MobileNet-small1.0-v3,"(1, 331, 331, 3)",292163668,4320632
MobileNet-small1.0-v3,"(1, 448, 448, 3)",496113044,4320632
MobileNet-small1.0-v3,"(1, 480, 480, 3)",567108756,4320632
MobileNet-small1.0-v3,"(1, 568, 568, 3)",801415092,4320632
MobileNet-small1.0-v3,"(1, 600, 600, 3)",891545012,4320632
MobileNet-small1.0-v3,"(1, 800, 800, 3)",1546359956,4320632
MobileNet-small1.0-v3,"(1, 896, 896, 3)",1935612308,4320632
MobileNet-small1.0-v3,"(1, 1024, 1024, 3)",2523163028,4320632
MobileNet-small1.0-v3,"(1, 1200, 1200, 3)",3485266572,4320632
MobileNet-small1.0-v3,"(1, 1600, 1600, 3)",6136599956,4320632
MobileNet-small1.0-v3,"(1, 1792, 1792, 3)",7693609364,4320632
MobileNet-small1.0-v3,"(1, 2400, 2400, 3)",13786999956,4320632
MobileNet-small1.5-v3,"(1, 28, 28, 3)",19815056,4519172
MobileNet-small1.5-v3,"(1, 64, 64, 3)",29862176,4519172
MobileNet-small1.5-v3,"(1, 75, 75, 3)",39623492,4519172
MobileNet-small1.5-v3,"(1, 112, 112, 3)",60812996,4519172
MobileNet-small1.5-v3,"(1, 128, 128, 3)",69421856,4519172
MobileNet-small1.5-v3,"(1, 150, 150, 3)",96131152,4519172
MobileNet-small1.5-v3,"(1, 224, 224, 3)",178210976,4519172
MobileNet-small1.5-v3,"(1, 240, 240, 3)",209868932,4519172
MobileNet-small1.5-v3,"(1, 256, 256, 3)",227660576,4519172
MobileNet-small1.5-v3,"(1, 299, 299, 3)",322374100,4519172
MobileNet-small1.5-v3,"(1, 320, 320, 3)",346339616,4519172
MobileNet-small1.5-v3,"(1, 331, 331, 3)",389140164,4519172
MobileNet-small1.5-v3,"(1, 448, 448, 3)",662817056,4519172
MobileNet-small1.5-v3,"(1, 480, 480, 3)",758419616,4519172
MobileNet-small1.5-v3,"(1, 568, 568, 3)",1074738080,4519172
MobileNet-small1.5-v3,"(1, 600, 600, 3)",1196151584,4519172
MobileNet-small1.5-v3,"(1, 800, 800, 3)",2077075616,4519172
MobileNet-small1.5-v3,"(1, 896, 896, 3)",2601241376,4519172
MobileNet-small1.5-v3,"(1, 1024, 1024, 3)",3392434976,4519172
MobileNet-small1.5-v3,"(1, 1200, 1200, 3)",4690361252,4519172
MobileNet-small1.5-v3,"(1, 1600, 1600, 3)",8258275616,4519172
MobileNet-small1.5-v3,"(1, 1792, 1792, 3)",10354938656,4519172
MobileNet-small1.5-v3,"(1, 2400, 2400, 3)",18560275616,4519172
MobileNet-large1.0-v3,"(1, 28, 28, 3)",45606278,10037304
MobileNet-large1.0-v3,"(1, 64, 64, 3)",73198454,10037304
MobileNet-large1.0-v3,"(1, 75, 75, 3)",97439958,10037304
MobileNet-large1.0-v3,"(1, 112, 112, 3)",154838918,10037304
MobileNet-large1.0-v3,"(1, 128, 128, 3)",181532918,10037304
MobileNet-large1.0-v3,"(1, 150, 150, 3)",253657382,10037304
MobileNet-large1.0-v3,"(1, 224, 224, 3)",479452694,10037304
MobileNet-large1.0-v3,"(1, 240, 240, 3)",559703174,10037304
MobileNet-large1.0-v3,"(1, 256, 256, 3)",614870774,10037304
MobileNet-large1.0-v3,"(1, 299, 299, 3)",865350262,10037304
MobileNet-large1.0-v3,"(1, 320, 320, 3)",939874166,10037304
MobileNet-large1.0-v3,"(1, 331, 331, 3)",1047274710,10037304
MobileNet-large1.0-v3,"(1, 448, 448, 3)",1806549878,10037304
MobileNet-large1.0-v3,"(1, 480, 480, 3)",2068358166,10037304
MobileNet-large1.0-v3,"(1, 568, 568, 3)",2931099078,10037304
MobileNet-large1.0-v3,"(1, 600, 600, 3)",3263395046,10037304
MobileNet-large1.0-v3,"(1, 800, 800, 3)",5679506966,10037304
MobileNet-large1.0-v3,"(1, 896, 896, 3)",7114938614,10037304
MobileNet-large1.0-v3,"(1, 1024, 1024, 3)",9281627894,10037304
MobileNet-large1.0-v3,"(1, 1200, 1200, 3)",12804614534,10037304
MobileNet-large1.0-v3,"(1, 1600, 1600, 3)",22606766966,10037304
MobileNet-large1.0-v3,"(1, 1792, 1792, 3)",28348493558,10037304
MobileNet-large1.0-v3,"(1, 2400, 2400, 3)",50818866966,10037304
ResNet-38V2,"(1, 64, 64, 3)",1047478078,1131594
ResNet-38V2,"(1, 75, 75, 3)",1469672686,1131594
ResNet-38V2,"(1, 112, 112, 3)",3198674750,1144394
ResNet-38V2,"(1, 128, 128, 3)",4176617278,1162314
ResNet-38V2,"(1, 150, 150, 3)",5799583870,1162314
ResNet-38V2,"(1, 224, 224, 3)",12781750078,1246794
ResNet-38V2,"(1, 240, 240, 3)",14672078654,1246794
ResNet-38V2,"(1, 256, 256, 3)",16693174078,1285194
ResNet-38V2,"(1, 299, 299, 3)",22900637934,1328714
ResNet-38V2,"(1, 320, 320, 3)",26080591678,1377354
ResNet-38V2,"(1, 331, 331, 3)",28048297198,1377354
ResNet-38V2,"(1, 448, 448, 3)",51113705278,1623114
ResNet-38V2,"(1, 480, 480, 3)",58675791678,1697354
ResNet-38V2,"(1, 568, 568, 3)",82159939390,1861194
ResNet-38V2,"(1, 600, 600, 3)",91677697854,1950794
ResNet-38V2,"(1, 800, 800, 3)",162980431678,2721354
ResNet-38V2,"(1, 896, 896, 3)",204441526078,3128394
ResNet-38V2,"(1, 1024, 1024, 3)",267024310078,3742794
ResNet-38V2,"(1, 1200, 1200, 3)",366699439934,4625994
ResNet-38V2,"(1, 1600, 1600, 3)",651908431678,7521354
ResNet-38V2,"(1, 1792, 1792, 3)",817752809278,9149514
ResNet-38V2,"(1, 2400, 2400, 3)",1466788431678,15521354
ResNet-47V2,"(1, 64, 64, 3)",1303565369,1406506
ResNet-47V2,"(1, 75, 75, 3)",1829011593,1406506
ResNet-47V2,"(1, 112, 112, 3)",3980700729,1419306
ResNet-47V2,"(1, 128, 128, 3)",5197706297,1437226
ResNet-47V2,"(1, 150, 150, 3)",7217540473,1437226
ResNet-47V2,"(1, 224, 224, 3)",15906593849,1521706
ResNet-47V2,"(1, 240, 240, 3)",18259110969,1521706
ResNet-47V2,"(1, 256, 256, 3)",20774270009,1560106
ResNet-47V2,"(1, 299, 299, 3)",28499455113,1603626
ResNet-47V2,"(1, 320, 320, 3)",32456692793,1652266
ResNet-47V2,"(1, 331, 331, 3)",34905612425,1652266
ResNet-47V2,"(1, 448, 448, 3)",63609820217,1898026
ResNet-47V2,"(1, 480, 480, 3)",73020660793,1972266
ResNet-47V2,"(1, 568, 568, 3)",102246305849,2136106
ResNet-47V2,"(1, 600, 600, 3)",114090944569,2225706
ResNet-47V2,"(1, 800, 800, 3)",202825358393,2996266
ResNet-47V2,"(1, 896, 896, 3)",254422725689,3403306
ResNet-47V2,"(1, 1024, 1024, 3)",332305544249,4017706
ResNet-47V2,"(1, 1200, 1200, 3)",456349166649,4900906
ResNet-47V2,"(1, 1600, 1600, 3)",811284878393,7796266
ResNet-47V2,"(1, 1792, 1792, 3)",1017674347577,9424426
ResNet-47V2,"(1, 2400, 2400, 3)",1825384078393,15796266
MobileNet-small0.75-v3,"(1, 32, 32, 3)",18104366,4221362
MobileNet-small0.75-v3,"(1, 56, 56, 3)",23430746,4221362
MobileNet-small1.0-v3,"(1, 32, 32, 3)",18728084,4320632
MobileNet-small1.0-v3,"(1, 56, 56, 3)",25227188,4320632
MobileNet-small1.5-v3,"(1, 32, 32, 3)",19972256,4519172
MobileNet-small1.5-v3,"(1, 56, 56, 3)",28808096,4519172
MobileNet-large1.0-v3,"(1, 32, 32, 3)",46114838,10037304
MobileNet-large1.0-v3,"(1, 56, 56, 3)",69944774,10037304
ResNet-38V2,"(1, 32, 32, 3)",265193278,1123914
ResNet-38V2,"(1, 56, 56, 3)",802959166,1123914
ResNet-47V2,"(1, 32, 32, 3)",330030137,1398826
ResNet-47V2,"(1, 56, 56, 3)",999280697,1398826
DPN-98,"(1, 56, 56, 3)",2009025222,61701472
DPN-107,"(1, 56, 56, 3)",3074150556,87055456
SENet-154,"(1, 224, 224, 3)",41650147245,115336536
SENet-154,"(1, 240, 240, 3)",48342517677,115336536
SENet-154,"(1, 256, 256, 3)",54324420525,115336536
SENet-154,"(1, 299, 299, 3)",76962874157,115336536
SENet-154,"(1, 320, 320, 3)",84742676397,115336536
SENet-154,"(1, 331, 331, 3)",93908065069,115336536
SENet-154,"(1, 448, 448, 3)",165858025389,115336536
SENet-154,"(1, 480, 480, 3)",190361620397,115336536
SENet-154,"(1, 568, 568, 3)",271730486701,115336536
SENet-154,"(1, 600, 600, 3)",302866066861,115336536
DPN-137,"(1, 28, 28, 3)",952499846,79413504
DPN-137,"(1, 32, 32, 3)",970411526,79413504
DPN-137,"(1, 56, 56, 3)",2743539590,79413504
DPN-137,"(1, 64, 64, 3)",2931922310,79413504
DPN-137,"(1, 75, 75, 3)",4468833926,79413504
DPN-137,"(1, 112, 112, 3)",8479280006,79413504
DPN-137,"(1, 128, 128, 3)",10777965446,79413504
DPN-137,"(1, 150, 150, 3)",16167020294,79413504
DPN-137,"(1, 224, 224, 3)",32354584070,79413504
DPN-137,"(1, 240, 240, 3)",37411521414,79413504
DPN-137,"(1, 256, 256, 3)",42162137990,79413504
DPN-137,"(1, 299, 299, 3)",59543374342,79413504
DPN-137,"(1, 320, 320, 3)",65700267398,79413504
DPN-137,"(1, 331, 331, 3)",72641861254,79413504
DPN-137,"(1, 448, 448, 3)",128468612486,79413504
DPN-137,"(1, 480, 480, 3)",147429883398,79413504
DPN-137,"(1, 568, 568, 3)",210363824006,79413504
DPN-137,"(1, 600, 600, 3)",234455319558,79413504
DPN-137,"(1, 800, 800, 3)",408964654598,79413504
DPN-137,"(1, 896, 896, 3)",512924726150,79413504
DPN-137,"(1, 1024, 1024, 3)",669845588870,79413504
DPN-137,"(1, 1200, 1200, 3)",921316998534,79413504
DPN-137,"(1, 1600, 1600, 3)",1634908894598,79413504
DPN-137,"(1, 1792, 1792, 3)",2050749180806,79413504
DPN-137,"(1, 2400, 2400, 3)",3678149294598,79413504
ResNet-20V2,"(1, 32, 32, 3)",135519560,574090
ResNet-20V2,"(1, 56, 56, 3)",410316104,574090
ResNet-20V2,"(1, 64, 64, 3)",535303496,581770
ResNet-20V2,"(1, 75, 75, 3)",750994872,581770
ResNet-20V2,"(1, 112, 112, 3)",1634622792,594570
ResNet-20V2,"(1, 128, 128, 3)",2134439240,612490
ResNet-20V2,"(1, 150, 150, 3)",2963670664,612490
ResNet-20V2,"(1, 224, 224, 3)",6532062536,696970
ResNet-20V2,"(1, 240, 240, 3)",7498014024,696970
ResNet-20V2,"(1, 256, 256, 3)",8530982216,735370
ResNet-20V2,"(1, 299, 299, 3)",11703003576,778890
ResNet-20V2,"(1, 320, 320, 3)",13328389448,827530
ResNet-20V2,"(1, 331, 331, 3)",14333666744,827530
ResNet-20V2,"(1, 448, 448, 3)",26121475400,1073290
ResNet-20V2,"(1, 480, 480, 3)",29986053448,1147530
ResNet-20V2,"(1, 568, 568, 3)",41987206472,1311370
ResNet-20V2,"(1, 600, 600, 3)",46851204424,1400970
ResNet-20V2,"(1, 800, 800, 3)",83290578248,2171530
ResNet-20V2,"(1, 896, 896, 3)",104479126856,2578570
ResNet-20V2,"(1, 1024, 1024, 3)",136461841736,3192970
ResNet-20V2,"(1, 1200, 1200, 3)",187399986504,4076170
ResNet-20V2,"(1, 1600, 1600, 3)",333155538248,6971530
ResNet-20V2,"(1, 1792, 1792, 3)",417909732680,8599690
